sample_id	participant_id	sample_type
slide1section10CN	MG211106	tissue
slide1section1CN	MG211106	tissue
slide1section2CN	MG211106	tissue
slide1section3CN	MG211106	tissue
slide1section4CN	MG211106	tissue
slide1section5CN	MG211106	tissue
slide1section6CN	MG211106	tissue
slide1section6IC	MG211106	tissue
slide1section7CN	MG211106	tissue
slide1section8CN	MG211106	tissue
slide1section9CN	MG211106	tissue
slide2section10CN	HK210304	tissue
slide2section9CN	HK210304	tissue
slide3section10CN	HK210304	tissue
slide3section1CN	HK210304	tissue
slide3section2CN	HK210304	tissue
slide3section3CN	HK210304	tissue
slide3section4CN	HK210304	tissue
slide3section5CN	HK210304	tissue
slide3section6CN	HK210304	tissue
slide3section7CN	HK210304	tissue
slide3section8CN	HK210304	tissue
slide3section9CN	HK210304	tissue
slide3section9IC	HK210304	tissue
slide4section1CN	HK210304	tissue
slide4section2CN	HK210304	tissue
slide4section3CN	HK210304	tissue
slide4section4CN	HK210304	tissue
slide2section10CN	HK210303	tissue
slide2section8CN	HK210303	tissue
slide2section9CN	HK210303	tissue
slide3section1CN	HK210303	tissue
slide3section2CN	HK210303	tissue
slide3section3CN	HK210303	tissue
slide3section4CN	HK210303	tissue
slide3section5CN	HK210303	tissue
slide3section6CN	HK210303	tissue
slide3section7CN	HK210303	tissue
slide3section7IC	HK210303	tissue
slide3section8CN	HK210303	tissue
slide2section10CN	HK210304B	tissue
slide2section1CN	HK210304B	tissue
slide2section2CN	HK210304B	tissue
slide2section3CN	HK210304B	tissue
slide2section4CN	HK210304B	tissue
slide2section5CN	HK210304B	tissue
slide2section6CN	HK210304B	tissue
slide2section7CN	HK210304B	tissue
slide2section7IC	HK210304B	tissue
slide2section8CN	HK210304B	tissue
slide2section9CN	HK210304B	tissue
slide3section1CN	HK210304B	tissue
slide3section2CN	HK210304B	tissue
slide1section10contraCN	HA241008	tissue
slide1section8contraCN	HA241008	tissue
slide1section9contraCN	HA241008	tissue
slide2section10contraCN	HA241008	tissue
slide2section1contraCN	HA241008	tissue
slide2section1ipsiCN	HA241008	tissue
slide2section2contraCN	HA241008	tissue
slide2section2ipsiCN	HA241008	tissue
slide2section3contraCN	HA241008	tissue
slide2section3ipsiCN	HA241008	tissue
slide2section4contraCN	HA241008	tissue
slide2section4ipsiCN	HA241008	tissue
slide2section5contraCN	HA241008	tissue
slide2section5ipsiCN	HA241008	tissue
slide2section6contraCN	HA241008	tissue
slide2section6ipsiCN	HA241008	tissue
slide2section7contraCN	HA241008	tissue
slide2section7ipsiCN	HA241008	tissue
slide2section8contraCN	HA241008	tissue
slide2section8ipsiCN	HA241008	tissue
slide2section8IC	HA241008	tissue
slide2section9contraCN	HA241008	tissue
slide1section10contraCN	HA240924	tissue
slide1section10ipsiCN	HA240924	tissue
slide1section8contraCN	HA240924	tissue
slide1section9contraCN	HA240924	tissue
slide1section9ipsiCN	HA240924	tissue
slide2section1contraCN	HA240924	tissue
slide2section1ipsiCN	HA240924	tissue
slide2section2contraCN	HA240924	tissue
slide2section2ipsiCN	HA240924	tissue
slide2section3contraCN	HA240924	tissue
slide2section3ipsiCN	HA240924	tissue
slide2section4contraCN	HA240924	tissue
slide2section4ipsiCN	HA240924	tissue
slide2section5contraCN	HA240924	tissue
slide2section5ipsiCN	HA240924	tissue
slide2section6contraCN	HA240924	tissue
slide2section6ipsiCN	HA240924	tissue
slide2section7contraCN	HA240924	tissue
slide2section7ipsiCN	HA240924	tissue
slide2section8contraCN	HA240924	tissue
slide2section8ipsiCN	HA240924	tissue
slide2section9contraCN	HA240924	tissue
slide2section9ipsiCN	HA240924	tissue
slide2section9IC	HA240924	tissue
slide1section10contraCN	HA241115	tissue
slide1section10ipsiCN	HA241115	tissue
slide1section5contraCN	HA241115	tissue
slide1section5ipsiCN	HA241115	tissue
slide1section6contraCN	HA241115	tissue
slide1section6ipsiCN	HA241115	tissue
slide1section7contraCN	HA241115	tissue
slide1section7ipsiCN	HA241115	tissue
slide1section8contraCN	HA241115	tissue
slide1section8ipsiCN	HA241115	tissue
slide1section9contraCN	HA241115	tissue
slide1section9ipsiCN	HA241115	tissue
slide2section1contraCN	HA241115	tissue
slide2section1ipsiCN	HA241115	tissue
slide2section1ipsiIC	HA241115	tissue
slide2section2contraCN	HA241115	tissue
slide2section2ipsiCN	HA241115	tissue
slide2section2ipsiIC	HA241115	tissue
slide2section3contraCN	HA241115	tissue
slide2section3ipsiCN	HA241115	tissue
slide2section3ipsiIC	HA241115	tissue
slide2section4contraCN	HA241115	tissue
slide2section4ipsiCN	HA241115	tissue
